"","ppID","runIdx","trialIdx","trialCode","trialOnset","trialDuration","timestamp","X","Y","bin","interval","gapfill","Xf","Yf","frameTime","frameStep","Xa","Ya","AV","lMax","AVf","fixation","cluster","inROI","roiValid"
"63","pilot",1,5,4,14.04911867,3.014133934,1.030668097,1067.599976,603.6000061,514,0.0167036649999999,1,1061.300049,603.6000061,1.016651788,0.0167036649999998,77.3775020144488,63.0885452286637,0.355368897895261,0,0.355368897895261,1,3,1,1
"64","pilot",1,5,4,14.04911867,3.014133934,1.04733653,1066.099976,611.8999939,523,0.016668433,1,1061.300049,603.5,1.033320221,0.016668433,77.3775020144488,63.078092545928,0.430160346033105,0,0.430160346033105,1,3,1,1
"65","pilot",1,5,4,14.04911867,3.014133934,1.063965014,1054.099976,599.7000122,531,0.0166284840000002,1,1055.400024,603.6000061,1.049948705,0.0166284840000002,76.9473416684156,63.0885452286637,0.561252214658682,1,0.561252214658682,1,3,1,1
"66","pilot",1,5,4,14.04911867,3.014133934,1.080667847,1054.099976,598.2000122,539,0.0167028329999999,1,1054.099976,605.3999939,1.066651538,0.0167028329999999,76.8525574772402,63.2766807664101,0.210663294049769,0,0.210663294049769,1,3,1,1
"67","pilot",1,5,4,14.04911867,3.014133934,1.097401751,1055.400024,610.8999939,547,0.0167339040000001,1,1054.099976,605.3999939,1.083385442,0.0167339040000001,76.8525574772402,63.2766807664101,0.209040903217655,0,0.209040903217655,1,3,1,1
"68","pilot",1,5,4,14.04911867,3.014133934,1.114144532,1052.900024,605.3999939,556,0.016742781,1,1054.099976,607.3999939,1.100128223,0.016742781,76.8525574772402,63.4857216696277,0.229525907284623,1,0.229525907284623,1,3,1,1
"69","pilot",1,5,4,14.04911867,3.014133934,1.130696726,1050.199951,607.3999939,564,0.016552194,1,1055.400024,607.3999939,1.116680417,0.016552194,76.9473416684156,63.4857216696277,0.0874863695565864,0,0.0874863695565864,1,3,1,1
"70","pilot",1,5,4,14.04911867,3.014133934,1.147317443,1056.199951,612.7999878,572,0.0166207169999999,1,1052.900024,607.3999939,1.133301134,0.0166207169999999,76.7650711076837,63.4857216696277,0.567415009165253,0,0.567415009165253,1,3,1,1
"71","pilot",1,5,4,14.04911867,3.014133934,1.163964792,1060.199951,599.3999939,581,0.0166473490000001,1,1056.199951,612.7999878,1.149948483,0.0166473490000001,77.0056629255495,64.0501314707406,0.613549383844797,1,0.613549383844797,1,3,1,1
"72","pilot",1,5,4,14.04911867,3.014133934,1.180652644,1049.5,613.2000122,589,0.016687852,1,1056.199951,612.7999878,1.166636335,0.016687852,77.0056629255495,64.0501314707406,0.386998430709884,0,0.386998430709884,1,3,1,1
"73","pilot",1,5,4,14.04911867,3.014133934,1.197315806,1056.199951,617.3999939,597,0.016663162,1,1056,609.1000061,1.183299497,0.016663162,76.9910848531939,63.6634077125122,0.490267351616831,1,0.490267351616831,1,3,1,1
"74","pilot",1,5,4,14.04911867,3.014133934,1.21396593,1056,597,605,0.0166501240000001,1,1049.5,612.3999939,1.199949621,0.0166501240000001,76.5171813952908,64.0083239276719,0.118509291899778,0,0.118509291899778,1,3,1,1
"75","pilot",1,5,4,14.04911867,3.014133934,1.230647679,1041.300049,609.1000061,614,0.016681749,1,1054.400024,609.2999878,1.21663137,0.016681749,76.8744334441229,63.6843098901097,0.346147071358297,0,0.346147071358297,1,3,1,1
"76","pilot",1,5,4,14.04911867,3.014133934,1.247316666,1049.099976,612.3999939,622,0.0166689869999999,1,1049.099976,609.1000061,1.233300357,0.0166689869999999,76.4880163557763,63.6634077125122,0.386417088346604,1,0.386417088346604,1,3,1,1
"77","pilot",1,5,4,14.04911867,3.014133934,1.263961796,1054.400024,609.2999878,630,0.0166451300000001,1,1049.099976,609.2999878,1.249945487,0.0166451300000001,76.4880163557763,63.6843098901097,0.344916215159628,0,0.344916215159628,1,3,1,1
"78","pilot",1,5,4,14.04911867,3.014133934,1.280641881,1045.099976,596.2000122,639,0.016680085,1,1049.099976,612.3999939,1.266625572,0.016680085,76.4880163557763,64.0083239276719,0.540187910283913,1,0.540187910283913,1,3,1,1
